years,data
1960,82092.53788
1961,83506.10889
1962,86652.30589
1963,93021.63734
1964,98231.85277
1965,96815.73701
1966,99662.2197
1967,101081.3467
1968,109583.3185
1969,115806.0105
1970,116330.9831
1971,118801.3389
1972,127326.3185
1973,129861.0819
1974,134516.8504
1975,127285.1962
1976,144567.6628
1977,151690.9598
1978,160092.3706
1979,168278.7323
1980,115399.194
1981,131431.8796
1982,123149.3565
1983,144710.7507
1984,162744.8203
1985,165298.1364
1986,127101.4676
1987,155238.2757
1988,164493.832
1989,192481.1579
1990,146882.7084
1991,143984.0183
1992,146742.4306
1993,115139.3163
1994,110658.3205
1995,110307.4382
1996,105615.8262
1997,89549.86553
1998,76754.43495
1999,81838.37459
2000,89764.84656
2001,95481.53696
2002,80865.27513
2003,82679.74854
2004,83885.6832
2005,72489.1029
2006,64501.17202
2007,66905.78035
2008,65102.81821
2009,62675.44606
