years,data
1970,1.400246558
1971,1.408918556
1972,1.420863097
1973,1.451597783
1974,1.540815759
1975,1.556483053
1976,1.577091394
1977,1.626178259
1978,1.652691253
1979,1.879881377
1980,2.744285063
1981,3.330454362
1982,3.199703806
1983,3.187328425
1984,3.381320396
1985,3.304654677
1986,3.148112437
1987,3.130881076
1988,3.168479536
1989,2.436165759
1990,2.69859112
1991,2.822411504
1992,2.690397433
1993,2.576369143
1994,2.533958293
1995,2.474298168
1996,2.799805092
1997,2.264913594
1998,2.256819651
1999,2.317215576
2000,3.017615553
2001,3.100719037
2002,3.267645498
2003,3.565918326
2004,4.170737017
2005,4.620835097
2006,4.75668363
2007,5.217147336
2008,6.644314086
2009,5.509444772
