years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,15.69805
1984,36.67854
1985,27.83405
1986,27.94148
1987,37.52257
1988,6.43165
1989,21684.89408
1990,28697.88016
1991,30415.77418
1992,29619.47766
1993,30758.34476
1994,34941.61245
1995,31830.63818
1996,31836.07416
1997,32036.93501
1998,28121.99019
1999,33029.49938
2000,35887.35262
2001,36162.79275
2002,38684.30759
2003,39893.10887
2004,43153.48186
2005,42618.02787
2006,48432.50312
2007,55201.48123
2008,53063.34549
2009,56996.57722
