years,data
1970,4.6192
1971,4.43754
1972,5.28027
1973,5.61889
1974,15.83385
1975,19.92344
1976,16.27377
1977,14.17641
1978,18.39442
1979,23.3063
1980,27.69409
1981,34.58083
1982,39.9889
1983,48.9711
1984,56.79166
1985,47.69442
1986,46.66985
1987,43.73952
1988,47.56584
1989,31.74338
1990,26.55259
1991,34.89247
1992,37.16172
1993,50.44564
1994,42.82602
1995,40.66359
1996,38.8149
1997,30.4221
1998,50.00569
1999,42.86131
2000,39.4551
2001,17.98568
2002,49.38488
2003,53.76788
2004,60.50445
2005,57.97448
2006,66.71365
2007,85.71224
2008,66.37699
2009,59.48336
