years,data
1970,1.21901
1971,1.30682
1972,1.17977
1973,1.00651
1974,1.74881
1975,1.41283
1976,1.43081
1977,1.63417
1978,1.76946
1979,2.30604
1980,7.59069
1981,7.44612
1982,7.10975
1983,5.58699
1984,4.3056
1985,4.77501
1986,4.4014
1987,3.30612
1988,2.05389
1989,4.03067
1990,4.03794
1991,4.11907
1992,4.03788
1993,2.94634
1994,2.48303
1995,2.25024
1996,4.72092
1997,4.82043
1998,2.49694
1999,3.09229
2000,4.024
2001,4.39513
2002,3.98645
2003,4.03676
2004,6.77929
2005,5.5814
2006,5.47016
2007,5.48901
2008,16.27463
2009,8.88336
