years,data
1960,174.29831
1961,142.89705
1962,107.66857
1963,876.23255
1964,1719.7138
1965,2450.46097
1966,2054.50666
1967,2481.38005
1968,2396.89225
1969,2812.68101
1970,5529.26147
1971,6690.32504
1972,6857.07957
1973,7533.78456
1974,7930.03949
1975,7425.466
1976,7698.35178
1977,8589.79585
1978,8078.87091
1979,8563.40768
1980,11457.66913
1981,10750.45877
1982,12311.60504
1983,14468.8178
1984,13978.74779
1985,14589.49559
1986,13245.188
1987,14395.084
1988,14714.581
1989,15294.9
1990,15110.983
1991,12858.028
1992,14832.11
1993,15011.76
1994,15374.362
1995,15221.013
1996,15297.30795
1997,15886.32628
1998,15963.10012
1999,16303.11029
2000,16584.64509
2001,16031.00041
2002,15275.00095
2003,16625.00022
2004,16745.00088
2005,17116.00223
2006,17044.00143
2007,16038.99333
2008,15461.61407
2009,16571.78947
