years,data
1970,0.576933866
1971,0.545703097
1972,0.58081999
1973,0.58067
1974,0.885559995
1975,0.0
1976,1.171730001
1977,1.15085
1978,1.25994
1979,1.334966757
1980,1.168465725
1981,1.278791618
1982,1.631226073
1983,1.638173899
1984,1.483001569
1985,1.414964246
1986,1.366331913
1987,1.44129516
1988,1.275187057
1989,1.199407628
1990,1.327530352
1991,1.35431889
1992,1.435254923
1993,1.323970495
1994,1.342013783
1995,1.204966462
1996,1.153950706
1997,1.194566723
1998,1.178339751
1999,1.218487659
2000,1.161243112
2001,1.190674595
2002,1.235794745
2003,1.211228622
2004,1.348872111
2005,1.537449718
2006,1.675143935
2007,1.99539018
2008,2.10669
2009,2.52775
