years,data
1970,21.22374
1971,22.14011
1972,28.16996
1973,39.27149
1974,65.97088
1975,64.03631
1976,75.88804
1977,94.28826
1978,117.90464
1979,158.46265
1980,219.69201
1981,406.75298
1982,260.56377
1983,156.14797
1984,166.45173
1985,179.15885
1986,193.69762
1987,232.13679
1988,233.3248
1989,253.05
1990,289.43232
1991,282.06385
1992,333.76401
1993,299.59751
1994,263.05964
1995,133.27862
1996,412.97861
1997,435.71057
1998,412.60074
1999,430.92791
2000,586.02906
2001,584.84214
2002,561.81345
2003,655.95308
2004,873.66906
2005,1238.67293
2006,1538.374
2007,1647.31297
2008,1922.08729
2009,1162.58124
