years,data
1960,106.97961
1961,92.51623
1962,85.9251
1963,74.04433
1964,97.77699
1965,65.31961
1966,50.8592
1967,37.85365
1968,55.43216
1969,68.01875
1970,113.805
1971,126.82578
1972,137.6219
1973,205.65571
1974,166.93179
1975,178.99014
1976,196.80526
1977,299.02122
1978,278.4804
1979,190.06762
1980,132.61078
1981,681.37649
1982,558.3605
1983,486.62091
1984,385.14296
1985,319.6405
1986,300.63161
1987,442.63325
1988,356.36612
1989,357.94207
1990,425.91538
1991,348.21384
1992,181.32657
1993,283.43294
1994,185.77592
1995,242.06024
1996,175.74474
1997,168.85359
1998,138.24165
1999,315.78996
2000,265.52947
2001,349.90203
2002,328.67941
2003,389.06428
2004,403.14147
2005,628.34553
2006,301.34898
2007,189.05247
2008,615.37756
2009,282.24688
