years,data
1960,5987.73238
1961,5240.53342
1962,6070.86451
1963,5555.03135
1964,8052.4881
1965,7022.3591
1966,5720.8875
1967,4288.56812
1968,7702.24314
1969,8802.09069
1970,12387.8033
1971,11621.72009
1972,13961.33874
1973,16683.74656
1974,12696.90529
1975,13390.43963
1976,14091.78752
1977,18957.33843
1978,17741.54915
1979,20828.51454
1980,12792.36877
1981,20466.88386
1982,9490.18425
1983,14429.66868
1984,11420.72847
1985,15115.93855
1986,16380.75261
1987,14681.01114
1988,13207.26977
1989,9246.58595
1990,8658.28507
1991,10384.29012
1992,8390.06939
1993,7371.69693
1994,6310.48154
1995,11108.81981
1996,11787.44979
1997,12117.35641
1998,11043.02685
1999,12666.94213
2000,13228.99621
2001,12696.09282
2002,12104.69478
2003,13528.17753
2004,13281.19671
2005,11200.51801
2006,12906.50696
2007,13546.13653
2008,13602.38937
2009,8829.48292
