years,data
1970,0.94691
1971,0.9981
1972,0.9981
1973,1.23162
1974,1.75844
1975,2.05422
1976,2.3394
1977,2.44826
1978,2.60937
1979,3.4581
1980,6.42171
1981,7.954
1982,6.63226
1983,6.38851
1984,6.39599
1985,6.07432
1986,3.70087
1987,4.3202
1988,3.83682
1989,4.54678
1990,5.8371
1991,5.08002
1992,4.83775
1993,4.71662
1994,4.45164
1995,4.42893
1996,5.33742
1997,5.06488
1998,3.92925
1999,4.51978
2000,7.07871
2001,6.54118
2002,5.64783
2003,6.84402
2004,9.59979
2005,13.58204
2006,15.79272
2007,17.1479
2008,23.90106
2009,13.86216
