years,data
1970,12387.8033
1971,11621.72009
1972,13961.33874
1973,16677.92156
1974,12696.90529
1975,13390.43963
1976,14091.78752
1977,18957.33843
1978,17741.54915
1979,20828.51454
1980,12792.36877
1981,20268.92438
1982,9447.36625
1983,14401.12385
1984,11404.09809
1985,15104.80039
1986,16363.30749
1987,14642.0416
1988,13200.35002
1989,9225.16358
1990,8647.87113
1991,10372.46019
1992,8375.73476
1993,7363.09678
1994,6302.13228
1995,11091.98608
1996,11763.20177
1997,12096.82952
1998,11006.27925
1999,12633.85403
2000,13177.50676
2001,12658.90072
2002,12082.41643
2003,13513.93482
2004,13254.64403
2005,11178.92072
2006,12873.13536
2007,13511.5895
2008,13571.91641
2009,8801.84819
