years,data
1970,33.59498
1971,34.5338
1972,42.9817
1973,61.52202
1974,91.02444
1975,94.72663
1976,112.76143
1977,146.60839
1978,169.3958
1979,235.96465
1980,315.58359
1981,605.28458
1982,355.17936
1983,268.91989
1984,255.00641
1985,284.5252
1986,262.28317
1987,307.47515
1988,293.05099
1989,305.35652
1990,355.24257
1991,346.52346
1992,381.47985
1993,343.74721
1994,296.93448
1995,189.53613
1996,482.37386
1997,503.07346
1998,459.94693
1999,498.55037
2000,693.11648
2001,682.2879
2002,642.92117
2003,767.8669
2004,1025.40536
2005,1443.81107
2006,1776.16813
2007,1907.06732
2008,2345.13897
2009,1314.57344
