years,data
1970,33.5816
1971,34.49125
1972,42.92762
1973,61.29634
1974,90.63041
1975,94.35346
1976,112.20679
1977,146.14442
1978,168.99511
1979,235.50013
1980,307.35705
1981,599.81037
1982,348.72272
1983,265.96363
1984,253.70915
1985,282.88315
1986,261.35831
1987,306.11206
1988,291.77506
1989,303.95013
1990,353.91125
1991,344.74638
1992,379.34925
1993,341.67102
1994,295.68355
1995,188.28803
1996,480.90482
1997,501.69093
1998,458.79449
1999,496.43316
2000,690.14184
2001,680.04175
2002,640.98273
2003,763.99393
2004,1022.45932
2005,1438.75979
2006,1768.86491
2007,1897.97934
2008,2331.19796
2009,1306.98939
