years,data
1960,60.8829
1961,59.53733
1962,38.678
1963,37.17515
1964,34.60633
1965,23.88833
1966,29.02015
1967,36.3247
1968,18.7565
1969,21.7389
1970,48.93
1971,80.30928
1972,71.59508
1973,126.85685
1974,188.71253
1975,197.8636
1976,226.476
1977,179.00225
1978,140.1495
1979,109.7896
1980,1259.8077
1981,724.6766
1982,924.3576
1983,481.0052
1984,208.66315
1985,264.8045
1986,244.15488
1987,305.07855
1988,302.56798
1989,282.63483
1990,213.96973
1991,331.9784
1992,413.30705
1993,410.4761
1994,269.07423
1995,254.5059
1996,250.34685
1997,240.60745
1998,262.3347
1999,421.50283
2000,392.17395
2001,355.69198
2002,315.74413
2003,510.9457
2004,307.19885
2005,374.16905
2006,427.08906
2007,479.0713
2008,592.47823
2009,496.989
