years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.06458
1983,1.32726
1984,2.70492
1985,3.11227
1986,2.81836
1987,5.44101
1988,7.58996
1989,10.85782
1990,8.72819
1991,7.46298
1992,5.15583
1993,0.17896
1994,0.458
1995,1.42736
1996,1.24853
1997,1.1722
1998,1.945
1999,1.611
2000,1.94334
2001,1.31561
2002,9.58304
2003,12.4515
2004,1.84379
2005,1.05094
2006,0.88457
2007,1.17475
2008,2.5912
2009,3.64439
