years,data
1960,3284.7051
1961,3619.43595
1962,3955.31323
1963,4301.50158
1964,4766.69366
1965,5068.24963
1966,5666.54042
1967,6069.095
1968,6397.87532
1969,7039.75782
1970,7561.62663
1971,8325.70991
1972,9157.20408
1973,9981.04171
1974,10159.36307
1975,9360.79812
1976,10195.13106
1977,10723.68398
1978,10768.272
1979,11133.356
1980,11532.56
1981,11257.71316
1982,11921.01279
1983,11838.85183
1984,15714.3925
1985,15913.58506
1986,16565.30777
1987,17643.92968
1988,18184.13117
1989,19445.73864
1990,19934.08114
1991,20036.59809
1992,20579.04126
1993,21244.80094
1994,22501.81927
1995,22658.9487
1996,23625.09062
1997,23334.77377
1998,25063.22473
1999,25367.73208
2000,28562.60605
2001,28849.27206
2002,29524.1213
2003,27511.76123
2004,28110.615
2005,28697.03885
2006,29355.81416
2007,30474.66014
2008,30121.70239
2009,29800.98804
