years,data
1970,43.71754
1971,48.77867
1972,56.39867
1973,62.15594
1974,70.70094
1975,73.95807
1976,87.33557
1977,105.62561
1978,126.16075
1979,153.34238
1980,183.98873
1981,206.28836
1982,248.69223
1983,242.39161
1984,329.5063
1985,359.19778
1986,387.84554
1987,396.8058
1988,420.03652
1989,441.0171
1990,442.78
1991,452.18615
1992,462.36002
1993,488.1061
1994,511.04107
1995,494.99992
1996,516.63301
1997,516.98891
1998,545.2101
1999,532.25992
2000,566.64612
2001,615.70405
2002,608.48092
2003,593.1709
2004,608.97093
2005,656.76904
2006,655.05591
2007,684.59404
2008,765.24878
2009,733.5251
