years,data
1970,21.88987
1971,23.32908
1972,25.79166
1973,27.16109
1974,31.16728
1975,35.64966
1976,46.52536
1977,59.45844
1978,86.18162
1979,118.37232
1980,118.09799
1981,151.14586
1982,160.94617
1983,157.75695
1984,170.8248
1985,207.46107
1986,202.88515
1987,198.80858
1988,196.95893
1989,205.20547
1990,201.22612
1991,201.89458
1992,203.72426
1993,213.04924
1994,216.5412
1995,221.77483
1996,238.89735
1997,253.76556
1998,257.99018
1999,236.3409
2000,239.36444
2001,264.09626
2002,218.88427
2003,267.25804
2004,285.67789
2005,327.25139
2006,346.05916
2007,351.60536
2008,392.7013
2009,324.72611
