years,data
1960,2975.08658
1961,3172.80856
1962,3455.70431
1963,3839.13122
1964,4261.45834
1965,3372.6494
1966,3653.32394
1967,3845.64132
1968,4206.24877
1969,4608.43827
1970,5032.40316
1971,5559.27055
1972,6056.62073
1973,6672.94735
1974,6972.65743
1975,6676.07956
1976,7003.3279
1977,7350.25664
1978,7673.588
1979,8178.564
1980,8369.636
1981,8036.48832
1982,8252.53616
1983,8765.5133
1984,10370.02336
1985,10571.76127
1986,10726.3624
1987,11280.57698
1988,11579.3317
1989,11814.66757
1990,12165.59518
1991,12505.36214
1992,12935.9156
1993,13253.10536
1994,13919.92275
1995,14071.18354
1996,14768.67822
1997,15360.74552
1998,15838.26857
1999,15863.08064
2000,16845.29649
2001,17058.21552
2002,17872.51321
2003,18486.34566
2004,19226.00925
2005,20010.81361
2006,20504.16492
2007,21793.68256
2008,21764.04251
2009,22190.87006
