years,data
1960,871.948
1961,929.897
1962,1012.809
1963,1125.185
1964,1248.962
1965,988.467
1966,1070.728
1967,1127.093
1968,1232.781
1969,1350.656
1970,1474.913
1971,1629.329
1972,1775.094
1973,1955.729
1974,2043.569
1975,1956.647
1976,2052.558
1977,2154.237
1978,2249.0
1979,2397.0
1980,2453.0
1981,2355.36
1982,2418.68
1983,2569.025
1984,3039.28
1985,3098.406
1986,3143.717
1987,3306.148
1988,3393.708
1989,3462.681
1990,3565.532
1991,3665.112
1992,3791.3
1993,3884.263
1994,4079.696
1995,4124.028
1996,4328.452
1997,4501.977
1998,4641.931
1999,4649.203
2000,4937.074
2001,4999.477
2002,5238.134
2003,5418.038
2004,5634.821
2005,5864.834
2006,6009.427
2007,6387.363
2008,6378.676
2009,6503.772
