years,data
1970,40.99677
1971,45.40529
1972,50.93448
1973,57.01146
1974,65.0475
1975,69.92659
1976,78.57587
1977,92.06571
1978,112.51038
1979,138.83186
1980,158.08769
1981,169.36007
1982,195.59938
1983,208.15158
1984,246.16465
1985,269.35526
1986,283.48671
1987,297.72737
1988,305.97365
1989,311.97126
1990,318.67302
1991,332.97302
1992,343.59305
1993,356.54697
1994,372.71804
1995,368.14803
1996,386.37299
1997,401.72297
1998,410.73604
1999,400.94492
2000,412.70707
2001,436.86602
2002,445.35604
2003,470.96498
2004,488.38697
2005,535.57102
2006,544.29495
2007,582.48607
2008,638.4854
2009,651.89054
