years,data
1970,163.776
1971,170.6
1972,184.248
1973,187.66
1974,221.78
1975,255.9
1976,266.136
1977,590.276
1978,324.14
1979,310.492
1980,293.432
1981,960.28089
1982,798.77851
1983,695.74133
1984,937.78025
1985,1069.76439
1986,1117.89748
1987,1146.32797
1988,1096.00632
1989,1145.35391
1990,1260.73697
1991,1259.46832
1992,1238.95698
1993,1485.82992
1994,1958.35087
1995,2098.89102
1996,1465.78527
1997,1505.11488
1998,1434.40992
1999,1370.34119
2000,1311.59051
2001,1456.21813
2002,1451.43075
2003,1535.03601
2004,1706.91363
2005,1809.15796
2006,2074.12604
2007,2271.67377
2008,2319.07805
2009,2492.77973
