years,data
1960,3382.797
1961,3638.382
1962,3942.698
1963,4226.823
1964,4566.197
1965,3773.311
1966,4141.841
1967,4425.578
1968,4771.017
1969,5207.773
1970,5602.553
1971,6126.43
1972,6627.133
1973,7062.52
1974,7070.969
1975,6660.053
1976,7206.982
1977,7679.197
1978,8050.0
1979,8582.0
1980,8778.0
1981,8867.232
1982,8846.933
1983,8816.468
1984,11040.645
1985,11873.232
1986,11900.883
1987,12332.196
1988,12755.32
1989,13369.803
1990,13820.76
1991,14083.944
1992,14431.48
1993,14926.879
1994,15858.794
1995,16415.546
1996,17173.393
1997,17527.949
1998,18173.12
1999,18041.302
2000,18800.676
2001,18726.594
2002,19206.917
2003,19330.491
2004,19845.735
2005,20638.951
2006,21434.957
2007,22267.394
2008,22037.928
2009,21647.136
