years,data
1960,318570.264
1961,329938.7174
1962,364849.5138
1963,374178.7919
1964,384433.1571
1965,397164.3667
1966,411329.4667
1967,450532.4564
1968,472880.403
1969,474048.4176
1970,547720.9185
1971,569569.4425
1972,609533.6517
1973,600363.586
1974,607616.2784
1975,587824.2654
1976,635010.5552
1977,609589.1606
1978,586485.0054
1979,590837.6605
1980,635807.7707
1981,616256.7818
1982,626575.6021
1983,656628.7962
1984,625384.2124
1985,618875.1283
1986,575125.4158
1987,622698.147
1988,650418.5385
1989,684691.8223
1990,739085.0994
1991,691147.1255
1992,712867.3095
1993,731175.5389
1994,724209.8056
1995,702088.7126
1996,731890.8904
1997,782033.6077
1998,774431.5258
1999,782120.1954
2000,809549.3544
2001,797241.6222
2002,759389.5513
2003,779896.3476
2004,797842.3505
2005,801146.732
2006,812543.685
2007,816986.9706
2008,797020.5995
2009,800618.8665
