years,data
1960,69.28
1961,51.956
1962,63.67
1963,43.56
1964,9.437
1965,42.857
1966,67.771
1967,35.136
1968,42.941
1969,63.9
1970,65.755
1971,27.241
1972,20.203
1973,64.955
1974,73.336
1975,63.383
1976,76.205
1977,27.928
1978,30.091
1979,67.813
1980,94.098
1981,87.978
1982,78.537
1983,88.732
1984,93.794
1985,127.901
1986,166.34
1987,164.18
1988,100.374
1989,232.288
1990,205.435
1991,237.108
1992,255.046
1993,293.827
1994,212.89
1995,263.92
1996,211.499
1997,258.81
1998,236.412
1999,242.71
2000,221.152
2001,237.32
2002,264.591
2003,170.699
2004,138.947
2005,164.993
2006,198.211
2007,267.978
2008,312.288
2009,270.963
