years,data
1970,0.75673
1971,0.79534
1972,0.79288
1973,0.94164
1974,1.62442
1975,2.11818
1976,2.31832
1977,2.7102
1978,2.91819
1979,4.08107
1980,6.59267
1981,7.6691
1982,7.37997
1983,6.74074
1984,6.35556
1985,6.23704
1986,4.39259
1987,4.28148
1988,4.17037
1989,4.78519
1990,6.01481
1991,4.83704
1992,4.57037
1993,4.5037
1994,4.03704
1995,4.15556
1996,5.03704
1997,4.78519
1998,3.56296
1999,4.13333
2000,6.82963
2001,5.88148
2002,5.56296
2003,6.71111
2004,8.74074
2005,13.16296
2006,15.02222
2007,15.72593
2008,22.56296
2009,12.9037
