years,data
1970,1.014
1971,1.06818
1972,1.06818
1973,1.32361
1974,1.93511
1975,2.22269
1976,2.55042
1977,2.74345
1978,2.93309
1979,3.55629
1980,6.80157
1981,8.37663
1982,7.34003
1983,7.01657
1984,6.83981
1985,6.59389
1986,5.03576
1987,5.13663
1988,4.48485
1989,4.48485
1990,6.81333
1991,6.40889
1992,5.84889
1993,5.77889
1994,4.30889
1995,3.99
1996,4.51111
1997,6.20667
1998,3.02556
1999,3.03333
2000,7.85556
2001,6.16
2002,5.55333
2003,7.85079
2004,9.85726
2005,13.41211
2006,17.07024
2007,15.50889
2008,19.22543
2009,19.60462
