years,data
1960,463.24495
1961,180.87201
1962,125.61349
1963,159.67868
1964,356.36671
1965,357.80874
1966,582.05351
1967,856.825
1968,839.82515
1969,1038.29082
1970,957.10371
1971,605.23703
1972,628.33376
1973,1077.31174
1974,589.65591
1975,620.4493
1976,527.26021
1977,782.25357
1978,743.52263
1979,842.0
1980,548.0
1981,156.0
1982,254.02705
1983,464.75975
1984,67.30967
1985,88.85516
1986,34.35805
1987,22.78649
1988,8.19071
1989,46.09392
1990,37.16707
1991,38.67049
1992,9.57077
1993,7.37424
1994,4.6978
1995,7.05692
1996,9.61512
1997,6.2008
1998,8.87646
1999,18.17483
2000,15.13583
2001,7.25593
2002,6.30357
2003,2.25383
2004,1.17011
2005,1.14415
2006,2.88114
2007,0.89941
2008,0.92598
2009,0.15373
