years,data
1960,1298.61416
1961,1547.12272
1962,1394.04844
1963,1410.26427
1964,1648.06567
1965,1368.12872
1966,1173.55727
1967,1382.56485
1968,1527.52789
1969,1815.97042
1970,1701.42854
1971,1584.49695
1972,1760.29566
1973,1475.43436
1974,1340.69147
1975,1059.92115
1976,1026.74887
1977,1126.38339
1978,927.08057
1979,1039.44239
1980,997.93258
1981,671.52581
1982,875.37811
1983,1040.75242
1984,479.27138
1985,1692.98751
1986,818.29748
1987,836.18011
1988,740.87865
1989,1012.00089
1990,1389.03613
1991,1095.87571
1992,892.50535
1993,655.01385
1994,630.89016
1995,700.42872
1996,692.18613
1997,881.95607
1998,1293.26123
1999,1661.82971
2000,1653.64563
2001,2798.27217
2002,2228.11369
2003,1558.21701
2004,1735.04808
2005,1436.27008
2006,2015.27947
2007,1450.82469
2008,1516.77814
2009,1201.71404
