years,data
1970,7.2602
1971,7.85332
1972,9.43228
1973,10.73403
1974,19.35272
1975,17.45078
1976,22.26241
1977,24.20512
1978,26.57788
1979,42.62769
1980,61.8854
1981,46.84127
1982,32.93474
1983,30.42964
1984,129.50629
1985,12.10799
1986,12.03998
1987,6.21591
1988,8.43471
1989,53.70717
1990,169.38081
1991,210.03413
1992,129.26622
1993,156.17861
1994,142.15796
1995,127.23334
1996,21.23685
1997,26.79994
1998,14.03569
1999,29.74774
2000,11.7213
2001,7.67776
2002,7.05803
2003,9.60398
2004,14.61452
2005,17.97734
2006,25.72607
2007,297.90219
2008,286.38769
2009,183.84416
