years,data
1960,3013.70125
1961,3258.05284
1962,3068.73649
1963,3098.86336
1964,3903.05531
1965,3334.40414
1966,2945.30977
1967,3233.4545
1968,3841.52142
1969,4605.03761
1970,4413.30499
1971,4309.56166
1972,5026.40271
1973,4520.45139
1974,4338.13864
1975,3864.98652
1976,3853.32578
1977,3938.32567
1978,3603.66679
1979,4496.38443
1980,4710.3639
1981,3119.66147
1982,2720.03393
1983,2735.94741
1984,5716.38947
1985,3002.14322
1986,1756.71573
1987,1536.54855
1988,1496.66667
1989,3879.40476
1990,7942.69048
1991,11734.59524
1992,10456.7619
1993,9616.33333
1994,8766.7381
1995,8190.83315
1996,2014.93583
1997,2667.16623
1998,2800.86801
1999,4115.11738
2000,2855.83333
2001,4410.78628
2002,3587.21418
2003,2842.14277
2004,2768.92874
2005,2841.66658
2006,3155.21398
2007,7307.06183
2008,6265.62958
2009,6372.4085
