years,data
1960,8122.93122
1961,8795.7334
1962,9501.23463
1963,10282.90257
1964,11327.04629
1965,12099.15311
1966,13580.97504
1967,14496.77339
1968,15264.18573
1969,16793.26373
1970,18292.92547
1971,20076.72228
1972,21923.57158
1973,23686.11042
1974,24566.47186
1975,22453.87781
1976,24395.65856
1977,25631.4875
1978,26076.59038
1979,26576.25127
1980,27704.93376
1981,26362.00932
1982,28186.51241
1983,27842.36159
1984,35834.79649
1985,36447.65541
1986,37163.04319
1987,39051.45296
1988,40261.78653
1989,44892.16032
1990,45739.51461
1991,45601.43291
1992,46504.5957
1993,48069.94619
1994,50326.69594
1995,51148.883
1996,53388.4196
1997,52528.24896
1998,56482.71749
1999,57669.08038
2000,64600.59046
2001,63918.38753
2002,65426.37723
2003,60353.55389
2004,61828.92629
2005,62402.3605
2006,63108.50136
2007,65366.26632
2008,64471.12028
2009,62710.73553
