years,data
1960,9212.76538
1961,9355.9389
1962,9720.15808
1963,10099.40505
1964,10230.055
1965,10510.64298
1966,10858.26827
1967,11024.84304
1968,11584.19317
1969,12294.3268
1970,12884.12735
1971,13891.18507
1972,14824.61039
1973,15831.56813
1974,15480.30391
1975,16256.94094
1976,17192.78392
1977,17779.90928
1978,18716.19606
1979,17768.5846
1980,16721.13298
1981,16779.66467
1982,16965.84078
1983,16935.8426
1984,17141.5401
1985,17430.7809
1986,17840.39764
1987,18488.93266
1988,18851.83453
1989,18429.77778
1990,18189.93646
1991,18674.3102
1992,19003.58037
1993,19815.19063
1994,20187.19496
1995,20342.23663
1996,19570.42788
1997,20793.92751
1998,21403.2354
1999,21828.37399
2000,20883.00185
2001,20985.83053
2002,21397.53168
2003,21451.21786
2004,22416.23738
2005,22261.86636
2006,22569.6865
2007,22403.06513
2008,21655.49212
2009,22671.95124
