years,data
1970,1.07784
1971,1.08266
1972,1.057
1973,1.16475
1974,1.89275
1975,2.25569
1976,2.37136
1977,2.59822
1978,2.81591
1979,3.76005
1980,5.45161
1981,6.90566
1982,6.93427
1983,5.10147
1984,4.55627
1985,5.43226
1986,4.29546
1987,4.811
1988,4.59982
1989,5.16588
1990,6.13545
1991,5.39629
1992,4.90826
1993,0.92285
1994,0.90955
1995,0.90921
1996,0.97501
1997,0.96718
1998,0.83173
1999,0.914
2000,1.17022
2001,2.31195
2002,19.14791
2003,35.70816
2004,5.89131
2005,2.21477
2006,2.21324
2007,2.44979
2008,2.75849
2009,2.00363
