years,data
1960,295.48953
1961,268.5237
1962,263.80022
1963,256.69285
1964,223.01131
1965,241.26851
1966,234.59898
1967,192.80688
1968,211.95067
1969,184.98734
1970,192.01569
1971,199.90997
1972,191.39429
1973,155.49837
1974,153.31677
1975,145.48098
1976,134.9987
1977,128.20668
1978,104.9676
1979,103.60671
1980,83.62861
1981,72.29628
1982,54.5103
1983,46.85501
1984,210.0949
1985,360.77784
1986,341.15295
1987,329.05264
1988,332.9644
1989,347.54795
1990,330.22754
1991,360.84253
1992,328.33463
1993,561.2055
1994,600.38281
1995,653.40918
1996,658.35258
1997,692.93819
1998,496.73383
1999,342.06318
2000,345.52951
2001,630.13755
2002,621.67624
2003,666.02106
2004,755.33583
2005,728.64225
2006,750.1681
2007,511.66035
2008,468.77947
2009,454.44789
