years,data
1970,0.43967
1971,0.46127
1972,0.48275
1973,0.48688
1974,0.66703
1975,0.74058
1976,1.00483
1977,1.5669
1978,1.88662
1979,2.16239
1980,2.79334
1981,3.21463
1982,4.21647
1983,4.61348
1984,4.671
1985,5.34022
1986,4.03516
1987,3.67399
1988,3.08248
1989,3.54287
1990,4.1953
1991,3.97981
1992,3.22182
1993,4.13201
1994,4.40728
1995,3.66678
1996,3.23494
1997,4.31338
1998,4.12717
1999,3.87605
2000,5.0634
2001,6.15381
2002,4.88552
2003,6.73601
2004,7.79087
2005,9.08683
2006,10.42717
2007,9.74549
2008,10.21743
2009,7.31375
