years,data
1960,1.035
1961,1.035
1962,1.035
1963,1.108
1964,1.109
1965,1.108
1966,1.108
1967,1.097
1968,1.098
1969,1.098
1970,1.083
1971,1.083
1972,1.058
1973,1.038
1974,1.031
1975,1.033
1976,1.029
1977,1.028
1978,1.042
1979,1.034
1980,1.029
1981,1.029
1982,1.021
1983,0.992
1984,0.996
1985,1.013
1986,1.041
1987,1.026
1988,1.026
1989,1.03225
1990,1.03374
1991,1.01695
1992,1.01687
1993,1.01627
1994,1.02221
1995,1.01865
1996,0.99824
1997,1.00067
1998,0.99571
1999,0.996
2000,0.99198
2001,0.98219
2002,1.00212
2003,1.0003
2004,1.02147
2005,1.00549
2006,1.00779
2007,1.01786
2008,1.01728
2009,1.02752
