years,data
1960,120242.277
1961,117536.22
1962,139373.448
1963,120032.05
1964,108077.345
1965,96687.295
1966,112323.116
1967,122304.0
1968,123115.0
1969,112172.0
1970,121116.0
1971,124928.0
1972,125571.0
1973,111565.0
1974,106644.0
1975,95387.0
1976,111228.0
1977,86452.0
1978,75857.0
1979,67391.0
1980,74074.0
1981,57246.0
1982,76416.0
1983,68725.0
1984,71380.0
1985,58344.0
1986,43603.0
1987,61617.0
1988,56415.0
1989,60934.0
1990,85181.0
1991,64112.228
1992,70766.715
1993,66681.269
1994,73473.301
1995,73575.914
1996,104608.757
1997,90332.922
1998,84702.073
1999,81925.221
2000,110693.473
2001,109748.849
2002,97025.371
2003,98340.941
2004,105626.412
2005,102145.468
2006,96554.454
2007,101147.612
2008,105026.0
2009,102162.0
