years,data
1970,18.70238
1971,24.67674
1972,24.95922
1973,21.15306
1974,32.74731
1975,32.83108
1976,40.02531
1977,52.23693
1978,58.89382
1979,25.87682
1980,84.47808
1981,85.02832
1982,40.16317
1983,47.63496
1984,50.68767
1985,21.11674
1986,6.76375
1987,19.84051
1988,26.31207
1989,36.82936
1990,34.1467
1991,39.64725
1992,53.46386
1993,31.61411
1994,30.81461
1995,33.52253
1996,28.7682
1997,46.07196
1998,38.91415
1999,38.27364
2000,69.17562
2001,77.59003
2002,44.18214
2003,68.67664
2004,69.15721
2005,98.01162
2006,50.85698
2007,53.58846
2008,59.27833
2009,12.28958
