years,data
1960,20358.0
1961,22520.0
1962,23522.0
1963,24528.0
1964,22372.0
1965,24237.0
1966,29450.0
1967,31126.0
1968,31568.0
1969,28061.0
1970,30771.0
1971,32396.0
1972,34621.0
1973,23730.0
1974,25331.0
1975,27826.0
1976,36476.0
1977,25525.0
1978,25882.0
1979,27874.0
1980,28579.0
1981,24653.0
1982,26429.0
1983,26593.0
1984,27394.0
1985,21952.0
1986,24019.0
1987,27534.0
1988,27846.0
1989,26591.177
1990,28145.267
1991,29767.032
1992,31433.433
1993,31842.583
1994,30868.44
1995,28769.84
1996,33689.198
1997,36623.156
1998,35876.737
1999,35547.865
2000,35920.873
2001,34749.985
2002,33499.1
2003,31618.926
2004,34339.026
2005,33242.436
2006,30435.14
2007,33470.714
2008,33996.0
2009,32353.0
