years,data
1960,200291.0
1961,211544.0
1962,238734.0
1963,216526.0
1964,204416.0
1965,202394.0
1966,223276.0
1967,255589.802
1968,260773.668
1969,251904.539
1970,270103.354
1971,269368.226
1972,287993.386
1973,256811.439
1974,257436.025
1975,240260.466
1976,278976.487
1977,229812.545
1978,213697.764
1979,211181.682
1980,221793.079
1981,196211.762
1982,204163.12
1983,178697.944
1984,161850.097
1985,151128.071
1986,134198.582
1987,153247.279
1988,173450.888
1989,195735.945
1990,238586.272
1991,218815.654
1992,202977.1433
1993,216553.5022
1994,220816.536
1995,215172.2777
1996,226974.7559
1997,256997.9953
1998,245830.5049
1999,236273.9425
2000,266479.469
2001,266282.639
2002,235098.051
2003,221020.899
2004,223575.428
2005,220716.931
2006,223635.1711
2007,234236.311
2008,246664.657
2009,240388.674
