years,data
1970,0.433633293
1971,0.469256443
1972,0.492421252
1973,0.517031033
1974,0.695865646
1975,0.790545569
1976,0.924938949
1977,1.611865101
1978,1.922746098
1979,2.298329702
1980,2.791140204
1981,3.220405831
1982,4.287796101
1983,4.728555294
1984,4.895523676
1985,5.260952249
1986,4.62992984
1987,4.120495742
1988,3.838301909
1989,4.200791917
1990,4.627051237
1991,4.421609705
1992,4.233450755
1993,4.591330475
1994,4.837914908
1995,4.070823903
1996,3.69644443
1997,4.756009123
1998,4.567188735
1999,4.247106331
2000,5.522112125
2001,6.462664591
2002,5.409561039
2003,7.162281793
2004,8.335477522
2005,9.805969662
2006,11.23302706
2007,10.56521409
2008,11.15557742
2009,8.280953994
