years,data
1960,166590.277
1961,176076.22
1962,201081.448
1963,177808.05
1964,162727.345
1965,158398.295
1966,176889.116
1967,205317.0
1968,211458.0
1969,197407.0
1970,215209.0
1971,220179.0
1972,228852.0
1973,190380.0
1974,189542.0
1975,175031.0
1976,209313.0
1977,159610.0
1978,150419.0
1979,150772.0
1980,165513.0
1981,141652.0
1982,159437.0
1983,148072.0
1984,131040.0
1985,122995.0
1986,114017.0
1987,134793.0
1988,152387.0
1989,168370.608
1990,213110.887
1991,190659.894
1992,180435.4653
1993,188767.6492
1994,188511.904
1995,183143.6307
1996,191824.7219
1997,216742.0083
1998,200296.1539
1999,193255.8855
2000,219594.263
2001,217301.44
2002,197773.718
2003,183171.633
2004,192758.828
2005,179510.418
2006,168129.508
2007,173186.182
2008,177923.0
2009,170287.0
