years,data
1970,1.245786049
1971,1.619233569
1972,1.629074261
1973,1.608687043
1974,2.44096046
1975,2.567048107
1976,2.59825851
1977,2.797647988
1978,2.936175066
1979,3.877983833
1980,6.399874599
1981,7.68431566
1982,6.716971032
1983,6.450594415
1984,6.377846828
1985,6.801288746
1986,5.955144676
1987,4.621222263
1988,4.78042371
1989,4.799803943
1990,5.0970892
1991,5.604037231
1992,5.104563646
1993,4.831754286
1994,5.02986483
1995,5.471591671
1996,5.831893854
1997,5.789345459
1998,4.689469249
1999,5.0521097
2000,6.495201947
2001,7.339243725
2002,6.139211755
2003,6.965572333
2004,8.075120703
2005,10.04662538
2006,10.31722925
2007,10.09190094
2008,12.14812572
2009,11.57335275
