years,data
1960,2312.8182
1961,2052.19212
1962,2311.35531
1963,2354.50289
1964,2704.19734
1965,2862.96993
1966,2999.35577
1967,3090.41149
1968,3472.59442
1969,3145.70775
1970,3300.91874
1971,2626.42016
1972,2901.29888
1973,3487.10137
1974,3941.11192
1975,4166.48493
1976,4114.02198
1977,3911.77657
1978,4246.99786
1979,4553.68799
1980,4639.36921
1981,3457.32598
1982,3520.60046
1983,5460.6274
1984,3581.91086
1985,3074.90153
1986,3197.24914
1987,3796.37809
1988,4024.09098
1989,3696.37976
1990,3506.52985
1991,3782.49253
1992,4390.46468
1993,4849.6964
1994,4614.30285
1995,4255.50773
1996,6570.364
1997,6403.93876
1998,6894.65887
1999,6788.67008
2000,6562.09124
2001,3676.17553
2002,4774.84052
2003,4956.09359
2004,5293.41966
2005,5102.2699
2006,4871.80449
2007,5188.10088
2008,4530.50414
2009,4151.66074
