years,data
1960,13826.27062
1961,14060.31658
1962,15378.40237
1963,16061.88761
1964,16281.39522
1965,16301.23888
1966,16703.48328
1967,16877.35822
1968,18620.5331
1969,19055.7304
1970,19684.19006
1971,20720.50751
1972,22305.75406
1973,23618.7811
1974,23285.22327
1975,23614.50433
1976,24799.37535
1977,26103.15342
1978,27740.94538
1979,26383.74831
1980,25214.04232
1981,27932.78452
1982,25607.35627
1983,23672.21872
1984,24489.03922
1985,25093.83451
1986,26292.55245
1987,27631.64092
1988,27999.85742
1989,27647.06652
1990,27539.49092
1991,27649.05213
1992,29223.29593
1993,29479.78309
1994,28664.11641
1995,25790.4598
1996,29377.34267
1997,31439.66249
1998,33182.40367
1999,33886.92783
2000,33541.11049
2001,34195.03449
2002,34129.32262
2003,34397.95681
2004,36459.26311
2005,36617.14111
2006,38404.60765
2007,37663.53385
2008,35669.81996
2009,35207.26683
