years,data
1970,0.1371
1971,0.96441
1972,1.61826
1973,3.52684
1974,10.97223
1975,18.57735
1976,11.84209
1977,12.49504
1978,4.5418
1979,14.15352
1980,12.30104
1981,7.04201
1982,11.48526
1983,6.83034
1984,3.92009
1985,2.58815
1986,1.35051
1987,1.77014
1988,1.79387
1989,2.01961
1990,1.95898
1991,2.0281
1992,2.169
1993,2.10861
1994,1.26086
1995,1.26107
1996,1.47618
1997,1.39159
1998,1.15244
1999,2.11721
2000,2.97464
2001,2.57067
2002,1.93844
2003,3.87297
2004,2.94604
2005,5.05128
2006,7.30322
2007,9.08798
2008,13.94101
2009,7.58405
