years,data
1960,622804.0
1961,652807.4
1962,634102.4
1963,637657.8
1964,660405.4
1965,691162.8
1966,720093.2
1967,731635.2
1968,745590.0
1969,749516.6
1970,743467.2
1971,686789.6
1972,641045.0
1973,585718.8
1974,572431.0
1975,551365.4
1976,534354.0
1977,505893.4
1978,483517.0
1979,461964.2
1980,436879.2
1981,415094.4
1982,411939.2
1983,435980.2
1984,460148.8
1985,455474.0
1986,439129.6
1987,419502.4
1988,413157.2
1989,398541.2
1990,390050.0
1991,408418.6
1992,405837.6
1993,396847.6
1994,381906.8
1995,374146.4
1996,373978.2
1997,405037.2
1998,419502.4
1999,373380.8
2000,389748.4
2001,394405.8
2002,388837.8
2003,383554.0
2004,372568.8
2005,351828.0
2006,346944.4
2007,341219.8
2008,344537.4
2009,354646.8
