years,data
1960,65.0
1961,65.0
1962,155.0
1963,140.0
1964,50.0
1965,125.0
1966,185.0
1967,190.0
1968,195.0
1969,110.0
1970,115.0
1971,195.0
1972,200.0
1973,195.0
1974,210.0
1975,205.0
1976,200.0
1977,200.0
1978,225.0
1979,230.0
1980,215.0
1981,280.34381
1982,325.88431
1983,328.9248
1984,365.17701
1985,405.49758
1986,400.87226
1987,394.26814
1988,434.20413
1989,424.35427
1990,485.22546
1991,463.51066
1992,517.74928
1993,584.06157
1994,545.40816
1995,534.0717
1996,557.32247
1997,557.47445
1998,545.93463
1999,543.86606
2000,549.90349
2001,524.50603
2002,513.8961
2003,586.12621
2004,595.18083
2005,589.89302
2006,648.60597
2007,607.18045
2008,557.44469
2009,579.79755
