years,data
1970,32.0438
1971,37.10158
1972,42.35943
1973,47.81945
1974,72.37527
1975,95.35005
1976,115.9192
1977,161.69833
1978,173.05696
1979,215.31861
1980,268.04847
1981,301.60705
1982,333.36414
1983,334.64555
1984,346.79011
1985,392.61024
1986,342.21137
1987,359.91882
1988,359.26875
1989,407.36106
1990,414.32123
1991,371.78959
1992,399.10147
1993,431.79122
1994,455.45274
1995,439.13919
1996,477.61185
1997,488.82002
1998,477.78427
1999,493.8292
2000,601.6179
2001,637.5923
2002,547.33321
2003,632.81427
2004,641.88985
2005,816.64562
2006,859.06546
2007,913.99471
2008,1143.96371
2009,874.06794
