years,data
1970,1.197057938
1971,1.248954306
1972,1.281420605
1973,1.547272972
1974,2.170094236
1975,2.483220872
1976,2.507730804
1977,3.191249103
1978,3.45929674
1979,4.591113227
1980,6.208547216
1981,7.497989121
1982,7.618044245
1983,6.907582662
1984,6.973614908
1985,7.308749787
1986,5.818215677
1987,5.931422498
1988,5.714799207
1989,6.34065551
1990,7.311862312
1991,6.837896358
1992,6.66920612
1993,7.039337562
1994,7.114558771
1995,6.794581974
1996,7.427151529
1997,7.614108865
1998,6.6675825
1999,7.046131128
2000,9.139571226
2001,9.387635759
2002,8.627693976
2003,10.07570368
2004,11.98745472
2005,15.32064195
2006,17.58012939
2007,18.37850181
2008,21.92614688
2009,15.58823637
