years,data
1960,7373.05583
1961,6936.51555
1962,6791.46314
1963,6468.79948
1964,6299.60702
1965,6074.90564
1966,6209.5118
1967,5678.48447
1968,5705.58598
1969,5681.81484
1970,5547.61237
1971,4964.65394
1972,4745.50766
1973,4895.8681
1974,4918.59476
1975,6002.3454
1976,6781.05597
1977,7327.52063
1978,7989.09471
1979,9921.6861
1980,6222.6322
1981,7850.4533
1982,8424.96074
1983,9738.56586
1984,10331.96832
1985,10998.46499
1986,11712.7992
1987,8882.21042
1988,8485.00705
1989,9284.61705
1990,8346.85973
1991,9150.21571
1992,9265.24712
1993,9679.52988
1994,8615.42933
1995,9088.37558
1996,7603.07227
1997,9043.9492
1998,8486.77166
1999,9072.69223
2000,9310.21296
2001,8053.59275
2002,8718.53593
2003,9628.8265
2004,12366.59947
2005,24106.54545
2006,29641.4582
2007,33024.11335
2008,35036.03687
2009,33785.17435
