years,data
1960,372.43849
1961,979.59941
1962,1126.00113
1963,778.38215
1964,702.17013
1965,3902.91497
1966,1946.60062
1967,247.28663
1968,374.68364
1969,385.92844
1970,774.93675
1971,468.43456
1972,1400.30458
1973,5187.04559
1974,8293.66555
1975,8435.77746
1976,9285.9774
1977,8198.31074
1978,5707.4104
1979,1542.09441
1980,5395.987
1981,5035.96326
1982,3926.38371
1983,16792.41335
1984,11224.17733
1985,4907.53211
1986,1393.06485
1987,357.60594
1988,491.60964
1989,921.13578
1990,725.46315
1991,740.69888
1992,794.88672
1993,1131.5254
1994,1105.57436
1995,1123.08554
1996,1222.73405
1997,992.73566
1998,853.77253
1999,887.36422
2000,852.56567
2001,541.87402
2002,825.90842
2003,986.92974
2004,659.75401
2005,543.8614
2006,867.74626
2007,993.93251
2008,1480.83042
2009,62.73489
