years,data
1970,0.29707
1971,0.19633
1972,0.69523
1973,3.81028
1974,11.11687
1975,12.83941
1976,16.15418
1977,14.32446
1978,10.44546
1979,3.63067
1980,19.39362
1981,17.83576
1982,17.30899
1983,72.75513
1984,45.41479
1985,18.00894
1986,2.30981
1987,0.75828
1988,0.66716
1989,1.21959
1990,1.35684
1991,0.79284
1992,0.71243
1993,1.47863
1994,1.79132
1995,2.01852
1996,2.53499
1997,1.70402
1998,1.64691
1999,2.18704
2000,3.1198
2001,1.69523
2002,2.94906
2003,4.10495
2004,2.75283
2005,3.56884
2006,6.95025
2007,9.00913
2008,19.22928
2009,0.57961
