years,data
1970,718.35375
1971,374.12956
1972,1324.86058
1973,5029.87059
1974,7966.74155
1975,8008.26146
1976,8764.1564
1977,7525.60174
1978,5179.3024
1979,1422.64141
1980,5075.35
1981,4428.05544
1982,3638.83425
1983,15216.98212
1984,10080.68438
1985,4503.16893
1986,1103.93968
1987,265.59016
1988,369.52723
1989,622.43727
1990,518.59174
1991,395.20805
1992,347.82733
1993,760.99766
1994,848.4199
1995,831.69195
1996,903.48698
1997,619.71814
1998,853.77253
1999,883.25516
2000,852.04234
2001,541.87402
2002,819.54082
2003,942.36818
2004,607.50741
2005,543.57025
2006,867.63913
2007,993.31984
2008,1480.22209
2009,61.84918
