years,data
1970,0.41024714
1971,0.526836174
1972,0.52476
1973,0.75753
1974,1.39541
1975,1.60327
1976,1.84321
1977,1.90343
1978,2.01677
1979,2.55206
1980,3.82114
1981,4.0279
1982,4.75674
1983,4.628611609
1984,4.505130211
1985,3.99917
1986,2.09233
1987,2.85509
1988,1.80543
1989,1.95938
1990,2.6164
1991,2.00614
1992,2.04823
1993,1.94301
1994,2.11136
1995,2.42701
1996,2.80579
1997,2.74967
1998,1.92898
1999,2.47611
2000,3.66156
2001,3.12846
2002,3.59843
2003,4.35599
2004,4.53135
2005,6.56555
2006,8.01053
2007,9.06972
2008,12.99081
2009,9.37134
