years,data
1960,372.11591
1961,388.30734
1962,422.22077
1963,404.06151
1964,445.32493
1965,467.89177
1966,486.54909
1967,497.58364
1968,552.55561
1969,564.66639
1970,559.37409
1971,533.46645
1972,615.11606
1973,713.85277
1974,1245.44127
1975,1171.80355
1976,1326.81587
1977,1161.51189
1978,1237.99431
1979,1461.85351
1980,1344.45388
1981,1459.24513
1982,1355.5135
1983,1380.44819
1984,917.27651
1985,993.3414
1986,1183.88765
1987,1180.61194
1988,1235.59506
1989,1284.34479
1990,1227.77537
1991,1553.76441
1992,1543.88044
1993,1533.47141
1994,1504.7816
1995,1481.72536
1996,1493.82191
1997,1468.38827
1998,1410.85226
1999,1403.50308
2000,1413.86349
2001,1438.33967
2002,1412.29481
2003,1460.58761
2004,1706.17938
2005,1710.94474
2006,1852.08695
2007,1796.39187
2008,1876.77455
2009,1810.47633
