years,data
1960,1562831.02
1961,1583833.567
1962,1587289.794
1963,1618611.382
1964,1741976.361
1965,1844925.058
1966,1936080.502
1967,2040911.965
1968,2166443.244
1969,2159608.899
1970,2208469.599
1971,2205841.238
1972,2214920.091
1973,2153300.43
1974,2164195.197
1975,2105374.261
1976,2121711.726
1977,2102230.192
1978,2083557.043
1979,2142098.925
1980,2117463.156
1981,2085101.501
1982,1939667.749
1983,1854974.708
1984,1973080.966
1985,1950514.4
1986,1694065.038
1987,1775059.495
1988,1778143.008
1989,1847895.754
1990,1978607.275
1991,2011422.889
1992,2311742.754
1993,2538819.322
1994,2626306.991
1995,2685751.38
1996,2597966.072
1997,2668895.379
1998,2596628.444
1999,2576219.351
2000,2728386.896
2001,2780060.767
2002,2713954.4
2003,2693377.752
2004,2733397.11
2005,2750153.543
2006,2651102.588
2007,2533348.811
2008,2461440.58
2009,2412219.049
