years,data
1970,7705.60954
1971,7613.0857
1972,8864.96604
1973,10139.15166
1974,13931.62972
1975,14482.47555
1976,15478.71466
1977,17962.72118
1978,14061.88358
1979,15615.86852
1980,15030.0922
1981,14722.71946
1982,17675.90241
1983,19390.94288
1984,16914.44002
1985,14155.47142
1986,14253.75181
1987,16933.28458
1988,17114.42075
1989,17420.79865
1990,20974.37002
1991,19466.52245
1992,22398.4284
1993,21567.68811
1994,22831.77227
1995,22274.49641
1996,29792.96236
1997,27861.77275
1998,26520.66442
1999,25543.56982
2000,27342.63592
2001,27248.78473
2002,24369.96206
2003,26203.58801
2004,27582.00699
2005,29899.13824
2006,30442.07639
2007,29326.05823
2008,29723.24399
2009,30085.13696
