years,data
1960,329020.2759
1961,340701.4578
1962,376677.1919
1963,371058.2277
1964,366521.6578
1965,353838.4716
1966,376544.8408
1967,407789.8315
1968,436374.2634
1969,429216.4378
1970,458770.2615
1971,469593.5421
1972,501838.8355
1973,477906.8743
1974,476618.7308
1975,459572.7814
1976,509048.2529
1977,473456.8391
1978,475365.6607
1979,480801.5832
1980,480855.8768
1981,472859.8664
1982,465156.9243
1983,472598.3184
1984,475367.8976
1985,465917.0677
1986,455233.8829
1987,485837.52
1988,510733.913
1989,535626.0993
1990,599437.3238
1991,592995.5625
1992,590248.0312
1993,605604.7291
1994,595181.6714
1995,585228.7428
1996,616466.3221
1997,656304.0088
1998,649553.1516
1999,651747.0759
2000,676800.9436
2001,664219.3946
2002,655477.3966
2003,653788.2621
2004,680525.2699
2005,680850.894
2006,686024.7111
2007,714279.8546
2008,696094.1778
2009,670094.5064
