years,data
1970,1.46261
1971,1.52972
1972,1.5862
1973,1.89019
1974,2.52996
1975,2.87792
1976,2.94334
1977,3.74522
1978,4.17187
1979,5.50822
1980,7.09652
1981,8.46877
1982,9.0055
1983,8.28351
1984,8.59808
1985,9.31771
1986,8.15088
1987,8.16381
1988,7.92514
1989,8.53183
1990,9.29194
1991,8.80635
1992,8.67183
1993,9.0767
1994,9.29967
1995,9.03139
1996,9.54655
1997,9.63238
1998,8.85692
1999,9.00719
2000,10.8467
2001,11.34581
2002,10.57206
2003,11.90132
2004,13.51666
2005,16.52153
2006,18.33573
2007,19.0177
2008,22.4287
2009,17.17897
