years,data
1960,774.0
1961,739.6
1962,791.2
1963,877.2
1964,1100.8
1965,860.0
1966,894.4
1967,894.4
1968,894.4
1969,825.6
1970,739.6
1971,911.6
1972,1100.8
1973,1066.4
1974,963.2
1975,1066.4
1976,1083.6
1977,1427.6
1978,1823.2
1979,1806.0
1980,1237.39927
1981,1306.01151
1982,1263.45658
1983,1427.09877
1984,1455.93017
1985,1449.79498
1986,2203.59313
1987,2158.74785
1988,2226.78885
1989,903.3176
1990,258.82931
1991,270.86024
1992,244.83923
1993,254.48312
1994,299.21852
1995,345.65913
1996,194.00491
1997,210.73145
1998,181.06665
1999,187.31616
2000,180.13205
2001,401.54958
2002,299.45074
2003,302.16132
2004,316.33574
2005,322.52756
2006,592.00011
2007,635.43363
2008,625.91751
2009,627.70932
