years,data
1970,347.36675
1971,428.14971
1972,517.01097
1973,500.85438
1974,452.3846
1975,500.85438
1976,508.93268
1977,670.4986
1978,856.29942
1979,848.22113
1980,581.16733
1981,613.39233
1982,593.40563
1983,670.26319
1984,683.80439
1985,680.92289
1986,1137.18914
1987,1132.3538
1988,1178.02902
1989,501.87343
1990,122.3535
1991,128.01063
1992,115.73134
1993,120.26261
1994,140.2738
1995,163.35312
1996,113.72725
1997,118.68927
1998,61.37818
1999,63.40649
2000,60.2857
2001,46.61796
2002,45.74114
2003,46.32786
2004,48.70951
2005,49.52247
2006,48.37535
2007,51.11958
2008,50.21547
2009,48.83872
